coin_id,v9.6_x,v9.6_y,v9.7.1_x,v9.7.1_y,status
coin_001,220,525,220,525,PASS_EXACT_MATCH
coin_002,410,525,410,525,PASS_EXACT_MATCH
coin_003,630,525,630,525,PASS_EXACT_MATCH
coin_004,900,525,900,525,PASS_EXACT_MATCH
coin_005,1160,525,1160,525,PASS_EXACT_MATCH
coin_006,1430,525,1430,525,PASS_EXACT_MATCH
coin_007,1650,525,1650,525,PASS_EXACT_MATCH
coin_008,2000,525,2000,525,PASS_EXACT_MATCH
coin_009,2250,525,2250,525,PASS_EXACT_MATCH
coin_010,2530,525,2530,525,PASS_EXACT_MATCH
coin_011,2810,525,2810,525,PASS_EXACT_MATCH
coin_012,2980,525,2980,525,PASS_EXACT_MATCH
coin_013,3150,525,3150,525,PASS_EXACT_MATCH
coin_014,3300,525,3300,525,PASS_EXACT_MATCH
coin_015,3450,525,3450,525,PASS_EXACT_MATCH
coin_016,400,420,400,420,PASS_EXACT_MATCH
coin_017,700,350,700,350,PASS_EXACT_MATCH
coin_018,1380,310,1380,310,PASS_EXACT_MATCH
coin_019,2100,400,2100,400,PASS_EXACT_MATCH
coin_020,2700,400,2700,400,PASS_EXACT_MATCH
coin_021,3620,525,3620,525,PASS_EXACT_MATCH
coin_022,3850,525,3850,525,PASS_EXACT_MATCH
coin_023,4080,525,4080,525,PASS_EXACT_MATCH
coin_024,4310,525,4310,525,PASS_EXACT_MATCH
coin_025,4540,525,4540,525,PASS_EXACT_MATCH
coin_026,4750,525,4750,525,PASS_EXACT_MATCH
coin_027,5050,525,5050,525,PASS_EXACT_MATCH
coin_028,5250,525,5250,525,PASS_EXACT_MATCH
coin_029,5480,525,5480,525,PASS_EXACT_MATCH
coin_030,5700,525,5700,525,PASS_EXACT_MATCH
coin_031,5950,525,5950,525,PASS_EXACT_MATCH
coin_032,6180,525,6180,525,PASS_EXACT_MATCH
coin_033,6460,525,6460,525,PASS_EXACT_MATCH
coin_034,6680,525,6680,525,PASS_EXACT_MATCH
coin_035,6880,525,6880,525,PASS_EXACT_MATCH
coin_036,3750,390,3750,390,PASS_EXACT_MATCH
coin_037,4450,390,4450,390,PASS_EXACT_MATCH
coin_038,5200,400,5200,400,PASS_EXACT_MATCH
coin_039,5900,390,5900,390,PASS_EXACT_MATCH
coin_040,6100,320,6100,320,PASS_EXACT_MATCH
coin_041,7120,525,7120,525,PASS_EXACT_MATCH
coin_042,7350,525,7350,525,PASS_EXACT_MATCH
coin_043,7580,525,7580,525,PASS_EXACT_MATCH
coin_044,7810,525,7810,525,PASS_EXACT_MATCH
coin_045,8100,525,8100,525,PASS_EXACT_MATCH
coin_046,8420,525,8420,525,PASS_EXACT_MATCH
coin_047,8650,525,8650,525,PASS_EXACT_MATCH
coin_048,8880,525,8880,525,PASS_EXACT_MATCH
coin_049,9150,525,9150,525,PASS_EXACT_MATCH
coin_050,9350,525,9350,525,PASS_EXACT_MATCH
coin_051,9550,525,9550,525,PASS_EXACT_MATCH
coin_052,9700,525,9700,525,PASS_EXACT_MATCH
coin_053,9980,525,9980,525,PASS_EXACT_MATCH
coin_054,10180,525,10180,525,PASS_EXACT_MATCH
coin_055,10380,525,10380,525,PASS_EXACT_MATCH
coin_056,7250,390,7250,390,PASS_EXACT_MATCH
coin_057,7850,390,7850,390,PASS_EXACT_MATCH
coin_058,8550,400,8550,400,PASS_EXACT_MATCH
coin_059,9980,400,9980,400,PASS_EXACT_MATCH
coin_060,10220,330,10220,330,PASS_EXACT_MATCH
coin_061,10620,525,10620,525,PASS_EXACT_MATCH
coin_062,10850,525,10850,525,PASS_EXACT_MATCH
coin_063,11080,525,11080,525,PASS_EXACT_MATCH
coin_064,11310,525,11310,525,PASS_EXACT_MATCH
coin_065,11540,525,11540,525,PASS_EXACT_MATCH
coin_066,11770,525,11770,525,PASS_EXACT_MATCH
coin_067,11900,525,11900,525,PASS_EXACT_MATCH
coin_068,12200,525,12200,525,PASS_EXACT_MATCH
coin_069,12450,525,12450,525,PASS_EXACT_MATCH
coin_070,12700,525,12700,525,PASS_EXACT_MATCH
coin_071,12950,525,12950,525,PASS_EXACT_MATCH
coin_072,13200,525,13200,525,PASS_EXACT_MATCH
coin_073,13450,525,13450,525,PASS_EXACT_MATCH
coin_074,13680,525,13680,525,PASS_EXACT_MATCH
coin_075,13900,525,13900,525,PASS_EXACT_MATCH
coin_076,10750,410,10750,410,PASS_EXACT_MATCH
coin_077,11350,400,11350,400,PASS_EXACT_MATCH
coin_078,11650,320,11650,320,PASS_EXACT_MATCH
coin_079,12350,390,12350,390,PASS_EXACT_MATCH
coin_080,13000,390,13000,390,PASS_EXACT_MATCH
coin_081,14200,390,14200,390,PASS_EXACT_MATCH
coin_082,14720,380,14720,380,PASS_EXACT_MATCH
coin_083,14180,400,14180,400,PASS_EXACT_MATCH
coin_084,16150,370,16150,370,PASS_EXACT_MATCH
coin_085,16780,390,16780,390,PASS_EXACT_MATCH
coin_086,17380,390,17380,390,PASS_EXACT_MATCH
coin_087,16600,525,16600,525,PASS_EXACT_MATCH
