hero,time,x,scene,source_monster,attack_type,attack_phase,raw_damage,final_damage,hp_before,hp_after,iframe_active,projectile_id,distance,telegraph_shown,avoidable,active_attackers,hostile_projectiles
yu,68.72,8305,Scene 3,obsidian,obsidian,2,48,1,1,0,false,proj_385,86.3,true,true,1,3
shakira,6.82,2937,Scene 1,red,red,1,15,15,90,75,false,proj_43,46.1,true,true,0,1
shakira,26.14,7614,Scene 3,blue,blue,1,12,12,90,78,false,proj_157,40.4,true,true,0,2
shakira,31.54,9385,Scene 3,blue,contact,2,12,12,180,168,false,,15.1,false,false,1,3
shakira,47.38,9905,Scene 3,pink,contact,2,12,12,87,75,false,,26.8,false,false,1,2
shakira,51.06,10033,Scene 3,obsidian,contact,2,24,24,39,15,false,,31.7,false,false,2,3
shakira,60.56,12561,Scene 4,red,red,2,30,30,42,12,false,proj_384,50.2,true,true,1,3
shakira,61.52,12993,Scene 4,blue,blue,2,24,12,12,0,false,proj_391,55.0,true,true,1,2
sandra,7.74,3308,Scene 1,red,red,1,15,15,120,105,false,proj_26,46.3,true,true,1,1
sandra,33.40,11162,Scene 4,red,red,2,30,30,240,210,false,proj_157,49.6,true,true,2,2
sandra,35.84,12069,Scene 4,ice,ice,2,34,34,210,176,false,proj_168,64.3,true,true,0,3
sandra,36.52,12399,Scene 4,yellow,contact,2,15,15,176,161,false,,13.1,false,false,1,3
sandra,37.50,12825,Scene 4,red,contact,2,15,15,186,171,false,,35.5,false,false,1,2
sandra,39.52,13592,Scene 4,obsidian,obsidian,2,48,48,171,123,false,proj_184,53.3,true,true,0,3
sandra,46.84,15646,Scene 5,unknown,petal,0,20,20,123,103,false,proj_17,45.2,false,false,1,7
sandra,48.36,15628,Scene 5,unknown,petal,0,20,20,103,83,false,proj_27,44.6,false,false,1,10
sandra,49.52,15640,Scene 5,blue,contact,2,12,12,83,71,false,,34.5,false,false,1,13
sandra,55.38,15635,Scene 5,unknown,petal,0,20,20,71,51,false,proj_92,40.7,false,false,1,14
sandra,56.70,15645,Scene 5,unknown,petal,0,20,20,51,31,false,proj_103,40.5,false,false,1,14
sandra,57.58,15643,Scene 5,unknown,vine,0,25,25,31,6,false,proj_113,46.7,false,false,0,7
sandra,59.46,15657,Scene 5,unknown,unknown,0,14,6,6,0,false,,0.0,false,false,0,16
