coffee_id,x,y,v9.6_baseline_count,coffee_count,location,heal_amount,cap_at_max_hp,forbidden_buffs,status
coffee_01,1050,390,25,13,BRICK_PLATFORM_REQUIRES_JUMP,25,YES,speed|shield|invulnerability|attack,PASS
coffee_02,2400,330,25,13,BRICK_PLATFORM_REQUIRES_JUMP,25,YES,speed|shield|invulnerability|attack,PASS
coffee_03,4100,320,25,13,BRICK_PLATFORM_REQUIRES_JUMP,25,YES,speed|shield|invulnerability|attack,PASS
coffee_04,5550,320,25,13,BRICK_PLATFORM_REQUIRES_JUMP,25,YES,speed|shield|invulnerability|attack,PASS
coffee_05,6200,320,25,13,BRICK_PLATFORM_REQUIRES_JUMP,25,YES,speed|shield|invulnerability|attack,PASS
coffee_06,7550,320,25,13,BRICK_PLATFORM_REQUIRES_JUMP,25,YES,speed|shield|invulnerability|attack,PASS
coffee_07,8550,400,25,13,BRICK_PLATFORM_REQUIRES_JUMP,25,YES,speed|shield|invulnerability|attack,PASS
coffee_08,8850,320,25,13,BRICK_PLATFORM_REQUIRES_JUMP,25,YES,speed|shield|invulnerability|attack,PASS
coffee_09,11050,340,25,13,BRICK_PLATFORM_REQUIRES_JUMP,25,YES,speed|shield|invulnerability|attack,PASS
coffee_10,12680,320,25,13,BRICK_PLATFORM_REQUIRES_JUMP,25,YES,speed|shield|invulnerability|attack,PASS
coffee_11,14460,320,25,13,BRICK_PLATFORM_REQUIRES_JUMP,25,YES,speed|shield|invulnerability|attack,PASS
coffee_12,15650,300,25,13,BRICK_PLATFORM_REQUIRES_JUMP,25,YES,speed|shield|invulnerability|attack,PASS
coffee_13,17050,330,25,13,BRICK_PLATFORM_REQUIRES_JUMP,25,YES,speed|shield|invulnerability|attack,PASS
