hero,time,x,scene,source_monster,attack_type,attack_phase,raw_damage,final_damage,hp_before,hp_after,iframe_active,projectile_id,distance,telegraph_shown,avoidable,active_attackers,hostile_projectiles
yu,13.04,5106,Scene 2,blue,contact,1,12,12,100,88,false,,32.3,false,false,0,0
yu,28.30,11198,Scene 4,red,contact,2,15,15,200,185,false,,35.2,false,false,2,2
yu,29.34,11676,Scene 4,yellow,contact,2,15,15,185,170,false,,33.5,false,false,2,3
yu,40.04,13103,Scene 4,red,contact,2,15,15,159,144,false,,32.0,false,false,2,3
yu,40.66,13425,Scene 4,obsidian,contact,2,24,24,144,120,false,,35.8,false,false,2,2
yu,57.50,14905,Scene 5,obsidian,contact,2,24,24,120,96,false,,31.9,false,false,1,28
yu,83.72,14823,Scene 5,boss_flower,bubble_burst,2,11,5.5,96,90.5,false,proj_481,36.8,true,true,0,56
shakira,1.22,762,Scene 1,red,red,1,15,15,90,75,false,proj_5,48.2,true,true,1,1
shakira,32.38,9231,Scene 3,blue,contact,2,12,12,180,168,false,,10.0,false,false,0,3
shakira,33.32,9655,Scene 3,blue,blue,2,24,24,168,144,false,proj_235,56.0,true,true,1,2
shakira,40.84,12400,Scene 4,yellow,contact,2,15,15,180,165,false,,30.2,false,false,1,2
shakira,41.84,12846,Scene 4,yellow,yellow,2,30,30,165,135,false,proj_307,48.1,true,true,1,3
shakira,43.42,13492,Scene 4,obsidian,contact,2,24,24,135,111,false,,31.8,false,false,2,3
shakira,44.36,13916,Scene 4,yellow,yellow,2,30,30,111,81,false,proj_329,39.9,true,true,1,3
shakira,44.96,14224,Scene 5,obsidian,contact,2,24,24,81,57,false,,14.3,false,false,1,3
shakira,45.58,14417,Scene 5,obsidian,obsidian,2,48,48,57,9,false,proj_339,52.9,true,true,2,3
shakira,48.28,15147,Scene 5,blue,blue,2,24,9,9,0,false,proj_10,51.8,true,true,0,3
sandra,59.94,15463,Scene 5,boss_flower,dream_bubble,1,12,12,211,199,false,proj_80,59.4,true,true,0,28
sandra,68.82,15494,Scene 5,boss_flower,boss,1,14,14,199,185,false,proj_215,34.7,true,true,0,15
sandra,70.90,15558,Scene 5,pink,pink,2,26,26,185,159,false,proj_3,51.5,true,true,0,3
